Batches,Layer,Method,Kendall_Tau,Spearman,Top30_Overlap_Pct
50,layer1.1.conv2,Energy (Sigma^2),0.8521825396825397,0.9657967032967032,94.73684210526315
50,layer1.1.conv2,True Loss Increase,0.5009920634920634,0.6616758241758242,89.47368421052632
50,layer1.1.conv3,Hessian Full,1.0,0.9999999999999998,100.0
50,layer1.1.conv3,Hessian Diag,1.0,0.9999999999999998,100.0
50,layer1.1.conv3,Fisher Full,1.0,0.9999999999999998,100.0
50,layer1.1.conv3,Fisher Diag,0.939484126984127,0.9923534798534799,94.73684210526315
50,layer1.1.conv3,Taylor 1st-order,0.9404761904761904,0.9924908424908423,94.73684210526315
50,layer1.1.conv3,Gradient Magnitude,0.7113095238095238,0.8762820512820512,73.68421052631578
50,layer1.1.conv3,Magnitude (Sigma),0.8581349206349206,0.9711080586080585,89.47368421052632
50,layer1.1.conv3,Energy (Sigma^2),0.8581349206349206,0.9711080586080585,89.47368421052632
50,layer1.1.conv3,True Loss Increase,0.5595238095238095,0.72257326007326,84.21052631578947
50,layer2.0.conv1,Hessian Full,1.0,1.0,100.0
50,layer2.0.conv1,Hessian Diag,1.0,1.0,100.0
50,layer2.0.conv1,Fisher Full,1.0,1.0,100.0
50,layer2.0.conv1,Fisher Diag,0.9197834645669294,0.9902604834279437,94.73684210526315
50,layer2.0.conv1,Taylor 1st-order,0.9195374015748032,0.9902261490569492,94.73684210526315
50,layer2.0.conv1,Gradient Magnitude,0.6530511811023623,0.844242125984252,78.94736842105263
50,layer2.0.conv1,Magnitude (Sigma),0.8676181102362206,0.9761376121589452,86.8421052631579
50,layer2.0.conv1,Energy (Sigma^2),0.8676181102362206,0.9761376121589452,86.8421052631579
50,layer2.0.conv1,True Loss Increase,0.5142716535433072,0.671013779527559,89.47368421052632
50,layer2.0.conv2,Hessian Full,1.0,1.0,100.0
50,layer2.0.conv2,Hessian Diag,1.0,1.0,100.0
50,layer2.0.conv2,Fisher Full,1.0,1.0,100.0
50,layer2.0.conv2,Fisher Diag,0.9320866141732285,0.9927153909540376,94.73684210526315
50,layer2.0.conv2,Taylor 1st-order,0.9320866141732285,0.9927153909540376,94.73684210526315
50,layer2.0.conv2,Gradient Magnitude,0.7632874015748033,0.9225531038271377,81.57894736842105
50,layer2.0.conv2,Magnitude (Sigma),0.8476870078740159,0.969448132210218,89.47368421052632
50,layer2.0.conv2,Energy (Sigma^2),0.8476870078740159,0.969448132210218,89.47368421052632
50,layer2.0.conv2,True Loss Increase,0.563976377952756,0.7482890038454496,84.21052631578947
50,layer2.0.conv3,Hessian Full,1.0,1.0,100.0
50,layer2.0.conv3,Hessian Diag,1.0,1.0,100.0
50,layer2.0.conv3,Fisher Full,1.0,1.0,100.0
50,layer2.0.conv3,Fisher Diag,0.940206692913386,0.9944950558505767,94.73684210526315
50,layer2.0.conv3,Taylor 1st-order,0.940206692913386,0.9944950558505767,94.73684210526315
50,layer2.0.conv3,Gradient Magnitude,0.7930610236220473,0.9440292528840871,89.47368421052632
50,layer2.0.conv3,Magnitude (Sigma),0.8786909448818899,0.9801432887749497,94.73684210526315
50,layer2.0.conv3,Energy (Sigma^2),0.8786909448818899,0.9801432887749497,94.73684210526315
50,layer2.0.conv3,True Loss Increase,0.5103346456692914,0.6671397180003662,89.47368421052632
50,layer2.1.conv1,Hessian Full,1.0,1.0,100.0
50,layer2.1.conv1,Hessian Diag,1.0,1.0,100.0
50,layer2.1.conv1,Fisher Full,1.0,1.0,100.0
50,layer2.1.conv1,Fisher Diag,0.9611220472440947,0.9970586888848195,97.36842105263158
50,layer2.1.conv1,Taylor 1st-order,0.9611220472440947,0.9970586888848195,97.36842105263158
50,layer2.1.conv1,Gradient Magnitude,0.8203740157480317,0.9472337941768905,92.10526315789474
50,layer2.1.conv1,Magnitude (Sigma),0.9325787401574804,0.992932841970335,97.36842105263158
50,layer2.1.conv1,Energy (Sigma^2),0.9325787401574804,0.992932841970335,97.36842105263158
50,layer2.1.conv1,True Loss Increase,0.15231299212598426,0.2285524629188793,65.78947368421053
50,layer2.1.conv2,Hessian Full,1.0,1.0,100.0
50,layer2.1.conv2,Hessian Diag,1.0,1.0,100.0
50,layer2.1.conv2,Fisher Full,1.0,1.0,100.0
50,layer2.1.conv2,Fisher Diag,0.9347933070866143,0.9936309741805529,97.36842105263158
50,layer2.1.conv2,Taylor 1st-order,0.9347933070866143,0.9936309741805529,97.36842105263158
50,layer2.1.conv2,Gradient Magnitude,0.72121062992126,0.9005905511811022,81.57894736842105
50,layer2.1.conv2,Magnitude (Sigma),0.8796751968503937,0.9809215345174876,92.10526315789474
50,layer2.1.conv2,Energy (Sigma^2),0.8796751968503937,0.9809215345174876,92.10526315789474
50,layer2.1.conv2,True Loss Increase,0.439468503937008,0.5950661508881158,84.21052631578947
50,layer2.1.conv3,Hessian Full,1.0,1.0,100.0
50,layer2.1.conv3,Hessian Diag,1.0,1.0,100.0
50,layer2.1.conv3,Fisher Full,1.0,1.0,100.0
50,layer2.1.conv3,Fisher Diag,0.9438976377952758,0.9950100714154917,94.73684210526315
50,layer2.1.conv3,Taylor 1st-order,0.9438976377952758,0.9950100714154917,94.73684210526315
50,layer2.1.conv3,Gradient Magnitude,0.7726377952755907,0.9321610053103827,84.21052631578947
50,layer2.1.conv3,Magnitude (Sigma),0.891732283464567,0.9832104925837758,89.47368421052632
50,layer2.1.conv3,Energy (Sigma^2),0.891732283464567,0.9832104925837758,89.47368421052632
50,layer2.1.conv3,True Loss Increase,0.22588582677165356,0.3203969053286943,65.78947368421053
50,layer3.0.conv1,Hessian Full,1.0,0.9999999999999998,100.0
50,layer3.0.conv1,Hessian Diag,1.0,0.9999999999999998,100.0
50,layer3.0.conv1,Fisher Full,1.0,0.9999999999999998,100.0
50,layer3.0.conv1,Fisher Diag,0.925183823529412,0.9917257953765162,94.73684210526315
50,layer3.0.conv1,Taylor 1st-order,0.9252450980392158,0.9917443923094528,94.73684210526315
50,layer3.0.conv1,Gradient Magnitude,0.6848651960784314,0.8704959658960859,77.63157894736842
50,layer3.0.conv1,Magnitude (Sigma),0.869546568627451,0.9768182078278781,90.78947368421053
50,layer3.0.conv1,Energy (Sigma^2),0.869546568627451,0.9768182078278781,90.78947368421053
50,layer3.0.conv1,True Loss Increase,0.44035601040721944,0.6035657121848832,77.63157894736842
50,layer3.0.conv2,Hessian Full,1.0,0.9999999999999998,100.0
50,layer3.0.conv2,Hessian Diag,1.0,0.9999999999999998,100.0
50,layer3.0.conv2,Fisher Full,1.0,0.9999999999999998,100.0
50,layer3.0.conv2,Fisher Diag,0.9564950980392157,0.9968220702677957,97.36842105263158
50,layer3.0.conv2,Taylor 1st-order,0.9564950980392157,0.9968220702677957,97.36842105263158
50,layer3.0.conv2,Gradient Magnitude,0.8449754901960784,0.9640292401007093,94.73684210526315
50,layer3.0.conv2,Magnitude (Sigma),0.8970588235294118,0.9850258926527806,93.42105263157895
50,layer3.0.conv2,Energy (Sigma^2),0.8970588235294118,0.9850258926527806,93.42105263157895
50,layer3.0.conv2,True Loss Increase,0.49136029411764715,0.6546714065003432,78.94736842105263
50,layer4.0.conv1,Hessian Full,1.0,1.0,100.0
50,layer4.0.conv1,Hessian Diag,1.0,1.0,100.0
50,layer4.0.conv1,Fisher Full,1.0,1.0,100.0
50,layer4.0.conv1,Fisher Diag,0.9352525684931507,0.9935130527517424,95.42483660130719
50,layer4.0.conv1,Taylor 1st-order,0.9352831457925637,0.9935169866733042,95.42483660130719
50,layer4.0.conv1,Gradient Magnitude,0.6982326320939336,0.8717724855803893,81.04575163398692
50,layer4.0.conv1,Magnitude (Sigma),0.8976272015655579,0.9851862819148328,93.4640522875817
50,layer4.0.conv1,Energy (Sigma^2),0.8976272015655579,0.9851862819148328,93.4640522875817
50,layer4.0.conv1,True Loss Increase,0.38333231409001967,0.5326101533800254,73.20261437908496
50,layer4.0.conv2,Hessian Full,1.0,1.0,100.0
50,layer4.0.conv2,Hessian Diag,1.0,1.0,100.0
50,layer4.0.conv2,Fisher Full,1.0,1.0,100.0
50,layer4.0.conv2,Fisher Diag,0.9543175146771038,0.9969098152058227,98.69281045751634
50,layer4.0.conv2,Taylor 1st-order,0.9543175146771038,0.9969085635035075,98.69281045751634
50,layer4.0.conv2,Gradient Magnitude,0.8376498287671235,0.9642427987777663,93.4640522875817
50,layer4.0.conv2,Magnitude (Sigma),0.9061735567514679,0.9875638904624575,94.77124183006535
50,layer4.0.conv2,Energy (Sigma^2),0.9061735567514679,0.9875638904624575,94.77124183006535
50,layer4.0.conv2,True Loss Increase,0.3837815524780803,0.5346514594358581,82.35294117647058
100,layer1.0.conv1,Hessian Full,1.0,0.9999999999999998,100.0
100,layer1.0.conv1,Hessian Diag,1.0,0.9999999999999998,100.0
100,layer1.0.conv1,Fisher Full,1.0,0.9999999999999998,100.0
100,layer1.0.conv1,Fisher Diag,0.939484126984127,0.9936355311355312,94.73684210526315
100,layer1.0.conv1,Taylor 1st-order,0.939484126984127,0.9936355311355312,94.73684210526315
100,layer1.0.conv1,Gradient Magnitude,0.6845238095238095,0.8382783882783882,89.47368421052632
100,layer1.0.conv1,Magnitude (Sigma),0.9126984126984127,0.9845695970695969,100.0
100,layer1.0.conv1,Energy (Sigma^2),0.9126984126984127,0.9845695970695969,100.0
100,layer1.0.conv1,True Loss Increase,0.5589276351044482,0.6982825921570688,89.47368421052632
100,layer1.0.conv2,Hessian Full,1.0,0.9999999999999998,100.0
100,layer1.0.conv2,Hessian Diag,1.0,0.9999999999999998,100.0
100,layer1.0.conv2,Fisher Full,1.0,0.9999999999999998,100.0
100,layer1.0.conv2,Fisher Diag,0.927579365079365,0.9886446886446886,100.0
100,layer1.0.conv2,Taylor 1st-order,0.927579365079365,0.9886446886446886,100.0
100,layer1.0.conv2,Gradient Magnitude,0.7251984126984126,0.9001373626373625,84.21052631578947
100,layer1.0.conv2,Magnitude (Sigma),0.8581349206349206,0.9713369963369963,94.73684210526315
100,layer1.0.conv2,Energy (Sigma^2),0.8581349206349206,0.9713369963369963,94.73684210526315
100,layer1.0.conv2,True Loss Increase,0.5246960997851686,0.7115252537336986,100.0
100,layer1.0.conv3,Hessian Full,1.0,0.9999999999999998,100.0
100,layer1.0.conv3,Hessian Diag,1.0,0.9999999999999998,100.0
100,layer1.0.conv3,Fisher Full,1.0,0.9999999999999998,100.0
